name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Ekkehardusstraße 2, 97717 Aura a.d. Saale, Deutschland",2017-01-01T00:00:00,-5.9,-5.9,-6.6,94.52,0.0,0.0,,0.0,0.5,13.3,2.5,90.0,1031.3,8.8,2.0,0.0,0.0,0.0,,Clear,clear-night,"04377,00191,02680,02597,06347,06336"
"Ekkehardusstraße 2, 97717 Aura a.d. Saale, Deutschland",2017-01-01T01:00:00,-5.9,-5.9,-6.6,94.55,0.0,0.0,,0.0,0.5,,2.5,260.0,1030.4,16.2,1.0,0.0,0.0,0.0,,Clear,clear-night,"04377,00191,02680,02597,06347,06336"
"Ekkehardusstraße 2, 97717 Aura a.d. Saale, Deutschland",2017-01-01T02:00:00,-5.9,-5.9,-6.6,94.55,0.0,0.0,,0.0,0.4,13.7,1.4,220.0,1029.6,23.5,2.0,0.0,0.0,0.0,,Partially cloudy,partly-cloudy-night,"04377,00191,02680,02597,06347,06336"
"Ekkehardusstraße 2, 97717 Aura a.d. Saale, Deutschland",2017-01-01T03:00:00,-6.0,-6.0,-6.7,94.54,0.0,0.0,,0.0,0.4,14.8,1.4,10.0,1028.8,18.5,2.0,0.0,0.0,0.0,,Clear,clear-night,"04377,00191,02680,02597,06347,06336"
"Ekkehardusstraße 2, 97717 Aura a.d. Saale, Deutschland",2017-01-01T04:00:00,-6.0,-6.0,-6.8,94.41,0.0,0.0,,0.0,0.4,15.5,0.7,290.0,1028.1,23.6,2.0,0.0,0.0,0.0,,Partially cloudy,partly-cloudy-night,"04377,00191,02680,02597,06347,06336"
"Ekkehardusstraße 2, 97717 Aura a.d. Saale, Deutschland",2017-01-01T05:00:00,-6.0,-6.0,-6.8,94.34,0.0,0.0,,0.0,0.4,15.8,1.4,340.0,1027.3,16.6,1.0,0.0,0.0,0.0,,Clear,clear-night,"04377,00191,02680,02597,06347,06336"
"Ekkehardusstraße 2, 97717 Aura a.d. Saale, Deutschland",2017-01-01T06:00:00,-6.0,-6.0,-6.7,94.31,0.0,0.0,,0.0,0.4,16.6,3.2,350.0,1027.0,18.3,1.0,0.0,0.0,0.0,,Clear,clear-night,"04377,00191,02680,02597,06347,06336"
"Ekkehardusstraße 2, 97717 Aura a.d. Saale, Deutschland",2017-01-01T07:00:00,-5.9,-5.9,-6.6,95.01,0.0,0.0,,0.0,0.5,16.6,2.2,10.0,1026.7,28.5,1.0,0.0,0.0,0.0,,Partially cloudy,partly-cloudy-night,"04377,00191,02680,02597,06347,06336"
"Ekkehardusstraße 2, 97717 Aura a.d. Saale, Deutschland",2017-01-01T08:00:00,-5.7,-5.7,-6.5,94.32,0.0,0.0,,0.0,0.5,18.7,3.2,180.0,1026.0,23.5,2.0,0.0,0.0,0.0,,Partially cloudy,partly-cloudy-night,"04377,00191,02680,02597,06347,06336"
"Ekkehardusstraße 2, 97717 Aura a.d. Saale, Deutschland",2017-01-01T09:00:00,-6.0,-6.0,-6.6,95.86,0.0,0.0,,0.0,0.5,15.5,4.0,180.0,1025.8,29.8,2.0,9.9,0.0,0.0,,Partially cloudy,partly-cloudy-day,"04377,00191,02680,02597,06347,06336"
"Ekkehardusstraße 2, 97717 Aura a.d. Saale, Deutschland",2017-01-01T10:00:00,-6.0,-6.0,-6.6,95.31,0.0,0.0,,0.0,0.5,18.4,3.2,160.0,1025.4,34.7,2.0,68.3,0.2,1.0,,Partially cloudy,partly-cloudy-day,"04377,00191,02680,02597,06347,06336"
"Ekkehardusstraße 2, 97717 Aura a.d. Saale, Deutschland",2017-01-01T11:00:00,-5.9,-5.9,-6.6,94.46,0.0,0.0,,0.0,1.0,21.2,4.0,140.0,1025.2,100.0,3.0,135.6,0.5,1.0,,Overcast,cloudy,"04377,00191,02680,02597,06347,06336"
"Ekkehardusstraße 2, 97717 Aura a.d. Saale, Deutschland",2017-01-01T12:00:00,-5.6,-5.6,-6.3,94.91,0.0,0.0,,0.0,1.3,24.8,3.2,180.0,1024.6,100.0,2.0,217.6,0.8,2.0,,Overcast,cloudy,"04377,00191,02680,02597,06347,06336"
"Ekkehardusstraße 2, 97717 Aura a.d. Saale, Deutschland",2017-01-01T13:00:00,-5.5,-5.5,-6.1,95.44,0.0,0.0,,0.0,0.01,25.6,2.5,180.0,1023.6,100.0,2.0,246.2,0.9,2.0,,Overcast,cloudy,"04377,00191,02680,02597,06347,06336"
"Ekkehardusstraße 2, 97717 Aura a.d. Saale, Deutschland",2017-01-01T14:00:00,-5.3,-5.3,-5.8,95.78,0.0,0.0,,0.0,0.01,25.6,3.2,150.0,1022.6,100.0,2.0,220.8,0.8,2.0,,Overcast,cloudy,"04377,00191,02680,02597,06347,06336"
"Ekkehardusstraße 2, 97717 Aura a.d. Saale, Deutschland",2017-01-01T15:00:00,-5.0,-5.0,-5.7,95.13,0.0,0.0,,0.0,0.01,25.2,4.3,170.0,1022.2,88.7,2.0,145.4,0.5,1.0,,Partially cloudy,partly-cloudy-day,"04377,00191,02680,02597,06347,06336"
"Ekkehardusstraße 2, 97717 Aura a.d. Saale, Deutschland",2017-01-01T16:00:00,-5.0,-5.0,-5.5,95.81,0.0,0.0,,0.0,0.01,22.0,2.5,160.0,1022.2,80.7,1.0,63.4,0.2,1.0,,Partially cloudy,partly-cloudy-day,"04377,00191,02680,02597,06347,06336"
"Ekkehardusstraße 2, 97717 Aura a.d. Saale, Deutschland",2017-01-01T17:00:00,-4.9,-4.9,-5.5,95.67,0.0,0.0,,0.0,0.01,19.1,4.0,160.0,1021.9,57.4,2.0,3.6,0.0,0.0,,Partially cloudy,partly-cloudy-night,"04377,00191,02680,02597,06347,06336"
"Ekkehardusstraße 2, 97717 Aura a.d. Saale, Deutschland",2017-01-01T18:00:00,-5.0,-5.0,-5.7,95.22,0.0,0.0,,0.0,0.01,18.4,2.5,210.0,1021.9,47.1,2.0,0.0,0.0,0.0,,Partially cloudy,partly-cloudy-night,"04377,00191,02680,02597,06347,06336"
"Ekkehardusstraße 2, 97717 Aura a.d. Saale, Deutschland",2017-01-01T19:00:00,-5.0,-5.0,-5.6,95.26,0.0,0.0,,0.0,0.01,19.4,3.6,200.0,1021.5,56.9,2.0,0.0,0.0,0.0,,Partially cloudy,partly-cloudy-night,"04377,00191,02680,02597,06347,06336"
"Ekkehardusstraße 2, 97717 Aura a.d. Saale, Deutschland",2017-01-01T20:00:00,-5.0,-5.0,-5.6,95.26,0.0,0.0,,0.0,0.01,23.0,2.9,210.0,1021.8,50.2,3.0,0.0,0.0,0.0,,Partially cloudy,partly-cloudy-night,"04377,00191,02680,02597,06347,06336"
